ds,y,Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-01 15:00:00,509,2023,8,1,15,16,15,1831,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 15:00:00,1237,2023,8,1,15,16,38,1664,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 16:00:00,1463,2023,8,1,16,17,7,435,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 16:00:00,380,2023,8,1,16,17,25,1303,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 16:00:00,1360,2023,8,1,16,17,46,2274,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 16:00:00,1359,2023,8,1,16,17,16,2324,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 16:00:00,630,2023,8,1,16,17,17,2144,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 16:00:00,827,2023,8,1,16,17,16,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 16:00:00,1969,2023,8,1,16,17,44,178,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 16:00:00,2207,2023,8,1,16,17,14,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 17:00:00,541,2023,8,1,17,18,3,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 17:00:00,393,2023,8,1,17,18,52,1237,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 17:00:00,1015,2023,8,1,17,18,21,1748,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 17:00:00,1416,2023,8,1,17,18,14,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 17:00:00,2104,2023,8,1,17,18,27,246,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 17:00:00,1247,2023,8,1,17,18,12,432,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 17:00:00,1176,2023,8,1,17,18,68,2784,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 17:00:00,681,2023,8,1,17,18,22,2310,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 18:00:00,457,2023,8,1,18,19,3,6,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 18:00:00,573,2023,8,1,18,19,13,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 18:00:00,745,2023,8,1,18,19,2,318,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 18:00:00,637,2023,8,1,18,19,13,1508,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 18:00:00,2279,2023,8,1,18,19,61,236,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 18:00:00,927,2023,8,1,18,19,47,2088,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 18:00:00,224,2023,8,1,18,19,33,1039,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
