ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-09 12:00:00,434,13,6,100,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-07 20:00:00,458,21,0,54,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 21:00:00,366,22,0,31,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 19:00:00,285,20,0,55,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 06:00:00,383,7,1,23,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 15:00:00,204,16,0,21,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 22:00:00,189,23,0,23,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 07:00:00,285,8,1,55,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 16:00:00,500,17,1,111,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 05:00:00,134,6,1,9,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 22:00:00,319,23,1,29,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 10:00:00,54,11,1,25,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 07:00:00,35,8,1,35,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 08:00:00,26,9,1,30,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 23:00:00,26,0,1,15,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 16:00:00,25,17,1,7,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 18:00:00,63,19,0,14,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 04:00:00,42,5,0,5,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 00:00:00,39,1,0,8,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 03:00:00,31,4,0,4,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 01:00:00,28,2,0,3,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 02:00:00,27,3,0,9,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 13:00:00,23,14,0,114,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-11 08:00:00,10,9,7,50,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-10 02:00:00,27,3,0,19,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 15:00:00,1210,16,17,99,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 01:00:00,26,2,0,42,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 05:00:00,26,6,0,9,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-09 21:00:00,80,22,0,113,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-10 03:00:00,17,4,0,14,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-09 19:00:00,68,20,0,136,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 22:00:00,66,23,0,102,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 17:00:00,60,18,0,61,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 00:00:00,57,1,0,6,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 03:00:00,28,4,0,4,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 14:00:00,23,15,0,66,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 05:00:00,23,6,0,14,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 01:00:00,23,2,0,11,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 02:00:00,14,3,0,7,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 04:00:00,6,5,0,12,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 15:00:00,3,16,0,122,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-11 12:00:00,653,13,18,126,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-10 08:00:00,294,9,3,53,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-09 20:00:00,72,21,1,119,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-11 11:00:00,617,12,15,100,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-11 14:00:00,703,15,14,114,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-11 13:00:00,666,14,13,192,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-11 10:00:00,740,11,10,79,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-09 23:00:00,64,0,1,86,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-10 04:00:00,11,5,0,17,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-11 15:00:00,682,16,5,69,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-11 09:00:00,201,10,5,67,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-09 16:00:00,38,17,1,71,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-10 19:00:00,518,20,2,66,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 16:00:00,1017,17,1,126,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 17:00:00,844,18,1,68,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 07:00:00,202,8,1,12,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-11 16:00:00,229,17,4,102,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-10 14:00:00,1607,15,8,94,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-09 07:00:00,217,8,0,64,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-10 13:00:00,1872,14,7,87,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 11:00:00,1615,12,7,99,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 09:00:00,751,10,7,59,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 10:00:00,1301,11,6,56,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 12:00:00,1888,13,5,94,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 18:00:00,660,19,5,70,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 20:00:00,382,21,0,35,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-11 07:00:00,11,8,3,18,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-10 21:00:00,261,22,0,43,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-11 17:00:00,55,18,2,103,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-10 22:00:00,195,23,0,9,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 23:00:00,121,0,0,18,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-10 06:00:00,115,7,0,9,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-11 06:00:00,4,7,2,14,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-10 00:00:00,57,1,0,86,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1
2023-12-12 16:00:00,11,17,2,45,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-12 09:00:00,9,10,1,20,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-12 08:00:00,6,9,1,22,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-12 11:00:00,4,12,1,12,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-11 23:00:00,9,0,0,4,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-12 07:00:00,3,8,1,25,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-12 06:00:00,3,7,1,16,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-12 21:00:00,1,22,0,12,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-12 04:00:00,1,5,0,2,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-11 18:00:00,73,19,1,104,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-13 19:00:00,854,20,3,120,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1
2023-12-13 14:00:00,619,15,11,100,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1
2023-12-12 20:00:00,0,21,0,16,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-13 07:00:00,76,8,3,36,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1
2023-12-13 15:00:00,683,16,10,87,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1
2023-12-12 22:00:00,0,23,0,7,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-11 01:00:00,39,2,1,6,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-11 22:00:00,3,23,0,11,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-12 01:00:00,0,2,0,5,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
2023-12-11 02:00:00,3,3,0,2,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1
2023-12-12 05:00:00,0,6,0,4,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1
