ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-25 07:00:00,2,8,3,1,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 06:00:00,2,7,3,1,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 19:00:00,2,20,1,0,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-01 19:00:00,2,20,6,0,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-04 06:00:00,2,7,54,0,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-14 14:00:00,1,15,11,1613,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 12:00:00,1,13,19,1489,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 11:00:00,1,12,5,1406,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-13 11:00:00,1,12,11,1010,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-14 17:00:00,1,18,4,970,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-13 15:00:00,1,16,20,772,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-11 00:00:00,1,1,50,49,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 21:00:00,1,22,16,10,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-06 20:00:00,1,21,10,7,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-06 17:00:00,1,18,6,7,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-16 09:00:00,1,10,7,7,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-01 09:00:00,1,10,7,5,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-04 10:00:00,1,11,4,5,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 16:00:00,1,17,20,3,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-07 19:00:00,1,20,18,3,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-29 20:00:00,1,21,29,2,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 13:00:00,1,14,3,2,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-06 16:00:00,1,17,19,2,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-06 18:00:00,1,19,8,2,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-07 16:00:00,1,17,78,2,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-14 20:00:00,0,21,4,473,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 08:00:00,1,9,6,2,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-13 07:00:00,0,8,4,407,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-14 22:00:00,0,23,19,190,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-05 18:00:00,1,19,7,1,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-05 05:00:00,1,6,1,1,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-01 17:00:00,1,18,9,1,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-13 17:00:00,1,18,19,1,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
