ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-01 16:00:00,7,17,357,1612,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-05 14:00:00,7,15,417,1554,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 17:00:00,7,18,292,1552,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 09:00:00,7,10,304,1545,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-01 09:00:00,7,10,395,1541,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-08 14:00:00,7,15,438,1501,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-09 13:00:00,7,14,478,1488,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-10 13:00:00,7,14,397,1488,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 13:00:00,7,14,548,1432,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-11 08:00:00,7,9,187,1368,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 18:00:00,7,19,361,1302,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-12 11:00:00,7,12,420,1296,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-03 19:00:00,7,20,300,1231,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-03 14:00:00,7,15,336,1118,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-25 08:00:00,7,9,296,1113,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 20:00:00,7,21,368,1111,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-07 17:00:00,7,18,232,1085,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 18:00:00,7,19,489,1085,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-15 08:00:00,7,9,357,1069,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
