Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Tue,2024/03/12 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,47,2917,237,158
Sun,2024/03/03 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,47,1841,140,159
Sun,2024/03/03 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,46,838,2045,160
Fri,2024/03/01 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,46,672,1283,161
Sun,2024/03/31 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,46,581,1009,162
Thu,2024/03/28 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,46,2573,273,163
Sat,2024/03/30 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,46,3192,189,164
Tue,2024/03/12 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,46,2597,153,165
Sun,2024/03/31 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,46,1615,128,166
Fri,2024/03/29 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,45,204,1441,167
Wed,2024/03/20 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,45,389,1297,168
Sat,2024/03/02 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,45,477,1155,169
Sun,2024/03/17 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,45,149,956,170
Sun,2024/03/31 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,45,585,931,171
Sat,2024/03/16 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,45,301,135,172
Tue,2024/03/19 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,44,2039,211,173
Tue,2024/03/12 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,43,698,2771,174
Sun,2024/03/03 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,43,233,951,175
Sat,2024/03/23 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,43,489,575,176
Fri,2024/03/15 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,43,2114,261,177
Sun,2024/03/24 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,42,945,2357,178
Tue,2024/03/26 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,42,136,1763,179
Fri,2024/03/22 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,42,502,1661,180
Mon,2024/03/04 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,42,76,1166,181
Fri,2024/03/22 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,42,320,1086,182
Mon,2024/03/18 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,42,2919,112,183
Mon,2024/03/04 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,42,2137,76,184
Wed,2024/03/06 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,41,704,2650,185
Sun,2024/03/03 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,41,874,2288,186
Wed,2024/03/06 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,41,578,2022,187
Fri,2024/03/22 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,41,563,1321,188
Fri,2024/03/15 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,41,237,1236,189
Mon,2024/03/18 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,41,497,1108,190
Wed,2024/03/06 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,41,141,1008,191
Sat,2024/03/02 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,41,269,993,192
Mon,2024/03/18 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,41,516,978,193
Sat,2024/03/30 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,41,183,881,194
Sun,2024/03/03 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,41,175,795,195
Sat,2024/03/23 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,41,181,771,196
Tue,2024/03/19 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,41,1281,244,197
Mon,2024/03/04 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,41,2573,18,198
Mon,2024/03/11 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,40,758,2406,199
Tue,2024/03/12 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,40,868,2213,200
Sat,2024/03/23 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,36,1379,2035,201
Fri,2024/03/15 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,36,339,1503,202
Tue,2024/03/12 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,36,226,1106,203
Tue,2024/03/12 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,36,199,1037,204
Mon,2024/03/18 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,36,368,1023,205
Wed,2024/03/06 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,36,312,994,206
Thu,2024/03/14 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,36,139,938,207
Tue,2024/03/12 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,36,78,898,208
Sun,2024/03/31 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,36,1141,890,209
Sat,2024/03/30 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,36,1834,208,210
Sun,2024/03/10 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,36,1395,194,211
Sat,2024/03/16 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,36,227,113,212
Tue,2024/03/05 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,35,1016,2832,213
Tue,2024/03/19 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,35,973,2558,214
Mon,2024/03/25 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,35,150,1753,215
Mon,2024/03/04 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,35,106,1469,216
Wed,2024/03/27 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,35,775,1380,217
Wed,2024/03/20 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,35,420,1301,218
Tue,2024/03/12 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,35,1990,309,219
Thu,2024/03/21 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,35,1856,235,220
Tue,2024/03/19 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,35,2940,216,221
Sat,2024/03/02 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,35,2545,210,222
Sat,2024/03/16 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,35,1602,181,223
Sat,2024/03/16 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,35,2910,22,224
Thu,2024/03/07 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,35,172,17,225
Mon,2024/03/04 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,35,2365,10,226
Fri,2024/03/22 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,35,2112,6,227
Mon,2024/03/11 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,35,168,6,228
Tue,2024/03/26 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,35,93,2,229
Thu,2024/03/07 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,34,716,2523,230
Tue,2024/03/12 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,34,669,2073,231
Fri,2024/03/08 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,34,448,1657,232
Thu,2024/03/21 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,34,1003,1639,233
Sat,2024/03/23 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,34,434,1538,234
Fri,2024/03/15 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,34,1136,1506,235
Thu,2024/03/28 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,34,112,1463,236
Fri,2024/03/08 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,34,462,1384,237
Sat,2024/03/09 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,34,279,1351,238
Mon,2024/03/25 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,34,166,1203,239
Thu,2024/03/07 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,34,953,1158,240
Sun,2024/03/10 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,34,158,1121,241
Sun,2024/03/03 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,34,264,1118,242
Fri,2024/03/01 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,34,385,1014,243
Sun,2024/03/10 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,34,143,995,244
Sun,2024/03/31 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,34,586,938,245
Sun,2024/03/10 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,34,21,919,246
Mon,2024/03/11 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,34,1644,248,247
Tue,2024/03/19 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,34,854,227,248
Wed,2024/03/13 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,34,1894,178,249
Fri,2024/03/22 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,34,1537,169,250
Mon,2024/03/18 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,34,1473,80,251
Wed,2024/03/20 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,31,259,964,252
Fri,2024/03/01 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,34,117,10,253
Sat,2024/03/02 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,31,351,956,254
Tue,2024/03/05 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,34,2583,9,255
Sat,2024/03/02 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,31,121,774,256
