Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/11/26 00:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,7,464,582,4760
Sat,2023/11/25 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,3,782,28,4761
Sun,2023/11/26 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,7,212,30,4762
Sat,2023/11/25 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,3,98,4,4763
Sun,2023/11/26 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,6,846,2455,4764
Sat,2023/11/25 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,2,1017,969,4765
Sun,2023/11/26 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,6,801,1818,4766
Sat,2023/11/25 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,2,427,932,4767
Sun,2023/11/26 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,6,368,919,4768
Sat,2023/11/25 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,2,52,479,4769
Sun,2023/11/26 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,6,388,508,4770
Sat,2023/11/25 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,2,1406,454,4771
Sun,2023/11/26 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,6,76,402,4772
Sun,2023/11/26 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,6,995,273,4773
Sun,2023/11/26 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,6,262,125,4774
Sun,2023/11/26 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,6,915,88,4775
Sun,2023/11/26 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,6,369,11,4776
Sun,2023/11/26 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,6,366,9,4777
Sun,2023/11/26 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,5,458,1093,4778
Sun,2023/11/26 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,5,420,552,4779
Sun,2023/11/26 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,5,155,542,4780
