Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Mon,2024/01/01 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,4,21,135,119
Tue,2024/01/02 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,15,381,144,120
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,4,296,134,121
Tue,2024/01/02 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,14,1012,1857,122
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,4,162,116,123
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,4,67,111,124
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,4,314,93,125
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,4,150,74,126
Mon,2024/01/01 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,4,161,65,127
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,3,615,432,128
Mon,2024/01/01 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,3,220,413,129
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,3,21,291,130
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,3,299,256,131
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,3,18,215,132
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,3,125,191,133
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,3,774,134,134
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,3,451,103,135
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,3,181,99,136
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,3,611,61,137
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,3,274,60,138
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,3,387,55,139
Mon,2024/01/01 00:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,3,20,37,140
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,3,34,18,141
Mon,2024/01/01 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,3,742,13,142
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,3,120,9,143
Mon,2024/01/01 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,2,31,508,144
Mon,2024/01/01 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,2,47,320,145
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,2,182,278,146
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,2,64,278,147
Mon,2024/01/01 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,2,23,248,148
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,2,799,148,149
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,2,338,135,150
Mon,2024/01/01 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,2,30,116,151
Mon,2024/01/01 00:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,2,138,89,152
Mon,2024/01/01 00:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,2,84,71,153
Mon,2024/01/01 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,2,71,57,154
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,2,95,26,155
Mon,2024/01/01 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,2,25,25,156
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,2,1106,22,157
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,2,128,20,158
Mon,2024/01/01 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,2,279,10,159
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,1,283,675,160
Mon,2024/01/01 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,1,333,600,161
Mon,2024/01/01 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,1,256,600,162
Mon,2024/01/01 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,1,294,591,163
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,81,71,164
Tue,2024/01/02 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,14,979,214,165
Tue,2024/01/02 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,14,937,184,166
Tue,2024/01/02 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,13,1129,1950,167
Tue,2024/01/02 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,13,21,290,168
Tue,2024/01/02 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,13,350,116,169
Tue,2024/01/02 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,12,972,1807,170
Tue,2024/01/02 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,12,522,160,171
Tue,2024/01/02 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,11,148,464,172
Tue,2024/01/02 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,11,2686,20,173
Tue,2024/01/02 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,11,2593,13,174
Tue,2024/01/02 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,9,1901,161,175
Tue,2024/01/02 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,9,2813,24,176
Tue,2024/01/02 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,9,897,4,177
Tue,2024/01/02 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,8,1073,1898,178
Tue,2024/01/02 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,8,2412,170,179
Tue,2024/01/02 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,8,1967,126,180
Tue,2024/01/02 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,7,1156,1795,181
Tue,2024/01/02 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,6,211,134,182
Tue,2024/01/02 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,6,185,115,183
Tue,2024/01/02 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,6,1311,41,184
Tue,2024/01/02 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,6,380,6,185
Tue,2024/01/02 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,5,484,1104,186
Tue,2024/01/02 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,5,211,838,187
Tue,2024/01/02 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,5,131,600,188
Tue,2024/01/02 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,5,61,515,189
Tue,2024/01/02 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,5,75,375,190
Tue,2024/01/02 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,5,392,88,191
Tue,2024/01/02 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,4,499,1253,192
Tue,2024/01/02 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,4,1502,317,193
Tue,2024/01/02 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,4,755,118,194
Tue,2024/01/02 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,4,714,55,195
Tue,2024/01/02 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,4,1639,11,196
Tue,2024/01/02 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,3,740,1243,197
Tue,2024/01/02 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,3,332,1075,198
Tue,2024/01/02 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,3,195,267,199
Tue,2024/01/02 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,3,3,184,200
Tue,2024/01/02 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,3,1248,141,201
Tue,2024/01/02 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,3,9,134,202
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,621,70,203
Tue,2024/01/02 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,17,15,204
Tue,2024/01/02 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,0,1134,280,205
Tue,2024/01/02 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,0,22,263,206
Tue,2024/01/02 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,11,15,207
