Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Fri,2023/08/31 23:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,8,611,1570,234
Fri,2023/08/31 23:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,8,169,829,235
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,8,545,697,236
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,8,133,566,237
Fri,2023/08/31 23:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,8,1212,539,238
Fri,2023/08/31 23:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,8,1097,496,239
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera 331 Railway Station,8,136,373,240
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera 331 Railway Station,8,19,110,241
Fri,2023/08/31 23:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,8,276,13,242
Fri,2023/08/31 23:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,8,839,3,243
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,7,513,1604,244
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,7,280,1176,245
Fri,2023/08/31 23:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,7,922,1150,246
Fri,2023/08/31 23:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,7,679,707,247
Fri,2023/08/31 23:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,7,553,282,248
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,7,47,226,249
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera 331 Railway Station,7,52,221,250
Sat,2023/09/01 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,53,1612,206,251
Sat,2023/09/01 23:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,52,1664,455,252
Sat,2023/09/01 23:00:00+00,5:00 PM-6:00 PM,Camera 331 Railway Station,49,1321,1878,253
