Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Mon,2023/10/01 23:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,4,162,72,159
Mon,2023/10/01 23:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,4,189,56,160
Mon,2023/10/01 23:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,4,337,35,161
Mon,2023/10/01 23:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,4,127,13,162
Mon,2023/10/01 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,4,169,10,163
Mon,2023/10/01 23:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,3,370,746,164
Mon,2023/10/01 23:00:00+00,6:00 AM-7:00 AM,Camera 331 Railway Station,3,52,605,165
Mon,2023/10/01 23:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,3,1858,487,166
Mon,2023/10/01 23:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,3,124,305,167
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera 331 Railway Station,3,14,226,168
Mon,2023/10/01 23:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,3,34,115,169
Mon,2023/10/01 23:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,3,117,49,170
Mon,2023/10/01 23:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,3,386,46,171
Mon,2023/10/01 23:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,3,44,28,172
Mon,2023/10/01 23:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,3,670,7,173
Mon,2023/10/01 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,3,84,0,174
Mon,2023/10/01 23:00:00+00,11:00 PM-12:00 AM,Camera 331 Railway Station,2,37,238,175
Mon,2023/10/01 23:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,2,38,190,176
Mon,2023/10/01 23:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,2,93,145,177
Mon,2023/10/01 23:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,2,48,125,178
Mon,2023/10/01 23:00:00+00,4:00 AM-5:00 AM,Camera 331 Railway Station,2,2,81,179
Mon,2023/10/01 23:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,2,16,77,180
Mon,2023/10/01 23:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,2,111,27,181
Mon,2023/10/01 23:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,2,14,19,182
Mon,2023/10/01 23:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,2,153,18,183
Mon,2023/10/01 23:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,2,7,12,184
Mon,2023/10/01 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,2,251,9,185
Mon,2023/10/01 23:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,1,761,303,186
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,1,56,210,187
Mon,2023/10/01 23:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,1,366,185,188
Mon,2023/10/01 23:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,1,38,172,189
Mon,2023/10/01 23:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,1,40,150,190
Mon,2023/10/01 23:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,1,215,142,191
Mon,2023/10/01 23:00:00+00,12:00 AM-1:00 AM,Camera 331 Railway Station,1,16,130,192
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,129,71,193
Mon,2023/10/01 23:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,1,117,51,194
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,1,42,42,195
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,1,37,31,196
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,1,27,25,197
Mon,2023/10/01 23:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,1,383,23,198
Mon,2023/10/01 23:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,1,28,22,199
Mon,2023/10/01 23:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,1,9,21,200
Mon,2023/10/01 23:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,19,185,647,201
Sun,2023/09/30 23:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,11,707,562,202
Mon,2023/10/01 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,1,53,10,203
Mon,2023/10/01 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,19,2152,12,204
Mon,2023/10/01 23:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,18,265,405,205
Sun,2023/09/30 23:00:00+00,10:00 PM-11:00 PM,Camera 331 Railway Station,11,105,398,206
Mon,2023/10/01 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,1,192,8,207
Mon,2023/10/01 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,18,2070,7,208
Sun,2023/09/30 23:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,10,381,1105,209
Mon,2023/10/01 23:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,1,16,3,210
Mon,2023/10/01 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,17,2859,16,211
Sun,2023/09/30 23:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,10,385,902,212
Mon,2023/10/01 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,1,148,2,213
Mon,2023/10/01 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,17,2760,13,214
Sun,2023/09/30 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,10,155,456,215
Mon,2023/10/01 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,1,6,0,216
Mon,2023/10/01 23:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,16,581,1461,217
Sun,2023/09/30 23:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,10,457,281,218
Mon,2023/10/01 23:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,88,229,219
Mon,2023/10/01 23:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,15,602,1149,220
Sun,2023/09/30 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,10,616,42,221
Mon,2023/10/01 23:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,0,18,107,222
Mon,2023/10/01 23:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,14,303,857,223
Sun,2023/09/30 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,10,261,5,224
Mon,2023/10/01 23:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,54,101,225
Mon,2023/10/01 23:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,13,340,728,226
Sun,2023/09/30 23:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,9,413,618,227
Mon,2023/10/01 23:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,0,103,100,228
Mon,2023/10/01 23:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,13,1327,490,229
Sun,2023/09/30 23:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,9,248,611,230
Mon,2023/10/01 23:00:00+00,1:00 AM-2:00 AM,Camera 331 Railway Station,0,2,98,231
Mon,2023/10/01 23:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,13,297,89,232
